ITEM_FLAVOUR_TRINKET:ALEXANDERS_FATE,"Some will say it's a pragmatic choice, others might call it cowardly.","Certains diront qu’il s’agit d’un choix pragmatique, les autres prendront cela pour de la lâcheté.","Manche würden das als pragmatische Lösung bezeichnen, andere als Feigheit.","Alcuni dicono sia una scelta pragmatica, altri la chiameranno codardia.","Algunos dirán que es una elección pragmática, otros podrían considerarla cobarde.","Algunos dirán que es una decisión pragmática, otros la llamarán cobardía.","Alguns dirão que essa é uma escolha pragmática, outros podem chamá-la de covarde.","Niektórzy powiedzą, że to pragmatyczny wybór, inni nazwą to tchórzostwem.","Одни назовут это прагматичностью, другие — трусостью.",某些人會認為這是一種務實的選擇，但其他人可能會稱之為懦弱。,有人认为这叫务实，也有人认为这叫懦弱。,누군가는 실용적인 선택이라고 하고 누군가는 비겁한 행동이라고 하죠.,ある者はそれを賢明な選択だと捉え、またある者はそれを臆病だと見なすかもしれない。,"Хтось вважає це прагматизмом, хтось боягузтвом.","Bazıları bunun pragmatik bir tercih, diğerleri ise korkaklık olduğunu düşünebilir."
ITEM_FLAVOUR_TRINKET:MORE_SCRAPS,We live in an enclosed world with limited resources. Recycling isn't preferable; it is vital.,Nous vivons dans un monde clos où les ressources sont limitées. Le recyclage n’est pas un choix : c’est une nécessité.,"Wir leben in einer geschlossenen Welt mit begrenzten Ressourcen. Recycling ist nicht wünschenswert, sondern überlebensnotwendig.","Viviamo in un mondo chiuso con risorse limitate. Il riciclaggio non è preferenziale, è vitale.","Vivimos en un mundo hermético con recursos limitados. Reciclar no es una opción, es vital.","Vivimos en un mundo enclaustrado con recursos limitados. El reciclaje no es una preferencia, es vital.",Vivemos em um mundo fechado com recursos limitados. Reciclagem não é mera opção — é vital!,Żyjemy w zamkniętym świecie z ograniczonymi zasobami. Przetwarzanie materiałów to nie wybór; to konieczność.,"Мы живём в замкнутом мире с ограниченными ресурсами. Переработка сырья для нас не выбор, а необходимость.",我們生活在一個資源有限的封閉世界中。回收不僅是更好，也是不可或缺的選擇。,我们生活在一个封闭的世界里，资源十分有限。回收利用是生死攸关的事。,"우리는 한정된 자원을 가지고 고립된 세상에서 살고 있습니다. 재활용은 선호의 문제가 아니라, 필수입니다.",私たちは閉ざされた空間の中で、限られた資源を利用して生活している。リサイクルは選択肢の1つではなく、必要不可欠なものである。,"Ми живемо в тісному світі з обмеженими ресурсами. Повторна переробка — не примха, а необхідність.","Dışarıya kapalı bir dünyada yaşıyoruz ve kaynaklarımız sınırlı. Geri dönüşüm bir tercih değil, hayati bir gereklilik."
ITEM_FLAVOUR_TRINKET:ORB_BLOCK,"Unfortunately, Energy Shards are very unstable by themselves. Fortunately, I have plans here for a device that should be able to trap it locally. Imagine, Energy Shards so common that we could use them as simple lamp posts...","Par malheur, les Éclats d'énergie sont éminemment instables par eux-mêmes. Par bonheur, j'ai conçu les plans d'un outil qui devrait permettre de les emprisonner localement. Imaginez : des Éclats d'énergie à profusion, si répandus que nous pourrions les utiliser comme de vulgaires lampadaires...","Unglücklicherweise sind Energiescherben selbst instabil. Glücklicherweise habe ich Pläne für ein Gerät, mit dem sie lokal gebannt werden können. Stell dir Folgendes vor: Energiescherben so gewöhnlich, dass man sie als Lampen benutzen kann …","I frammenti di energia sono molto instabili da soli, purtroppo. Tuttavia, ho qui dei progetti per un dispositivo che dovrebbe servire a intrappolarli. Pensa, potrebbero essere così comuni da usarli come semplici lampioni...","Desafortunadamente, los Fragmentos de Energía son muy inestables por sí solos. Por suerte, tengo planes para un dispositivo que debería poder atraparlos localmente. Imagínate, Fragmentos de Energía tan comunes que podríamos usarlos como simples farolas...","Por desgracia, los fragmentos de energía son muy inestables. Afortunadamente, tengo aquí los planos de un dispositivo que, en teoría, los contendrá en un espacio reducido. Imagina: fragmentos de energía tan comunes que podríamos utilizarlos como simples postes de luz...","Infelizmente, Fragmentos de energia são muito instáveis. Felizmente, esbocei um dispositivo que talvez possa prendê-los localmente. Imagine, Fragmentos de energia tão comuns que poderíamos usá-los como postes de luz...","Niestety, Odłamki energii są same w sobie bardzo niestabilne. Na szczęście mam plany urządzenia, które powinno być w stanie je lokalnie przechować. Tylko sobie wyobraź, Odłamki energii, które będą tak powszechne, że moglibyśmy ich używać jako zwykłych latarni...","Энергетические осколки сами по себе неустойчивы, но я работаю над устройством, которое позволит стабилизировать их. И превратить в нечто обыденное вроде простых фонарей…",不幸的是，能量碎片本身極為不穩定。但幸運的是，我手上有個裝置設計圖可將它局部捕捉。想像一下，能量碎片普及到甚至能當成普通的路燈使用……,不巧的是，能量碎片本身非常不稳定。还好我有应对计划，准备制造一种装置，能够让能量碎片在原地保存下来。想象一下，能量碎片可以在各个地方派上用场，甚至可以拿来做普通的路灯柱……,"아쉽게도 에너지 파편은 그 자체로 매우 불안정합니다. 다행인 점은, 저에게 그것을 가둬 둘 장치에 대한 아이디어가 있다는 겁니다. 상상해 보세요, 에너지 파편이 너무 흔해져서 주변의 가로등에까지 사용할 수 있게 된다면...",エネルギーのかけらは単体では非常に不安定だが、局所的に閉じ込めることができる装置の設計図がここにある。想像してみてほしい。エネルギーのかけらを、まるで街灯のように当たり前に使える世界を…,"На жаль, уламки енергії дуже нестабільні. На щастя, в мене є плані на пристрій, який матиме змогу ловити їх. Уяви, настільки звичні всім уламки енергії, що ми змогли б використовувати їх як ліхтарні стовпи...","Maalesef Enerji Parçaları kendi başlarına çok dengesiz. Neyse ki elimde onları belli bir yere hapsedebilen bir cihazın planları var. Enerji Parçalarının çok yaygın olduğunu hayal etsene, onları basit birer sokak lambası gibi bile kullanabilirdik..."
ITEM_FLAVOUR_TRINKET:ORB_RECOVERY,Each drawback is an opportunity to gather yourself.,Chaque pas en arrière est une occasion de se ressaisir.,"Jeder Rückschlag ist eine Möglichkeit, dich selbst neu aufzustellen.",Ogni passo indietro è un'opportunità per imparare.,Cada inconveniente es una oportunidad para reponerse.,Cada contratiempo representa una oportunidad para recuperarte.,Cada recuo é uma oportunidade de se recompor.,Każda niedogodność jest okazją do zebrania myśli.,Каждая помеха — это возможность стать лучше.,每一次挫折，都是重新整頓自己的機會。,每一次挫折都是自我振作的机会。,모든 장애는 자신을 다잡을 기회가 됩니다.,どんな欠点も、自分を立て直すいい機会となる。,Кожна перешкода це можливість зібратися.,Her engel kendini toparlaman için bir fırsattır.
ITEM_FLAVOUR_TRINKET:PACIFIC,I will never stop watching over you.,Je veillerai toujours sur toi.,"Ich werde niemals aufhören, auf dich aufzupassen.",Non smetterò mai di proteggerti.,Nunca dejaré de cuidarte.,Nunca dejaré de velar por ti.,Nunca vou deixar de zelar por você.,Nigdy nie przestanę nad tobą czuwać.,Я всегда буду присматривать за тобой.,我會守護你，直到永遠。,我会一直守护着你。,언제까지나 당신을 지켜보겠습니다.,私はいつでもあなたを見守っていますよ。,Я завжди охоронятиму тебе.,Sana hep göz kulak olacağım.
ITEM_FLAVOUR_TRINKET:QUICK_RECHARGE,"Usually, the Heart doesn't play favourite. But one unit in particular always was the exception.","Le Cœur ne voulait favoriser personne, mais une petite unité a toujours fait exception à la règle.",Normalerweise bevorzugt das Herz nichts und niemanden. Doch eine Einheit stellte dabei immer eine Ausnahme dar.,"Di solito, il Cuore non ha preferiti. Ma un'unità in particolare è sempre stata l'eccezione.","Por lo general, el Corazón no tiene favoritos, pero una unidad en particular siempre fue la excepción.","Por lo general, el Corazón no tiene favoritos. Pero una unidad en particular siempre fue la excepción.","Normalmente, o Coração não tem seus favoritos. Mas uma unidade em particular sempre foi a exceção.",Zazwyczaj Serce nie ma faworytów. Ale pewna szczególna jednostka stanowiła wyjątek.,"Перед Сердцем все равны, у неё нет любимчиков. Кроме одного конкретного юнита, который всегда был на особом счету.",通常心臟是不會偏心的，但某個特定的裝置總是例外。,通常来说，「心」不会有什么偏爱。但有一个个体一直是例外。,보통 심장은 편애하지 않습니다. 하지만 특별히 어떤 유닛 하나만은 항상 예외였습니다.,基本的に、ハートは特定のものをひいきすることはない。しかし、あるユニットだけは例外であった。,Зазвичай Серце не обирає улюбленців. Але цей юніт — виняток.,Kalp genellikle kendine bir favori seçmez ama özel bir birim onun için her zaman istisna olmuştur.
ITEM_FLAVOUR_TRINKET:SCRAP_ATTACK,Money is power. Power is ephemeral.,"L’argent, c’est le pouvoir, et le pouvoir, c'est éphémère.",Geld ist Macht. Macht ist vergänglich.,Il denaro è potere. Il potere è effimero.,El dinero es poder. El poder es efímero.,El dinero es poder. El poder es efímero.,Dinheiro é poder. O poder é efêmero.,Pieniądze to władza. Władza jest ulotna.,Деньги дают силу. Пускай и на время.,金錢就是力量，而這力量是短暫的。,金钱就是力量，力量瞬息即逝。,돈이 곧 힘이며 힘은 일시적인 것.,金は力であり、力は儚いものである。,Гроші — це сила. Сила ілюзорна.,"Para, güç demektir. Güç gelip geçicidir."
ITEM_FLAVOUR_TRINKET:SHIELD_DEC,Energy savings have to come from somewhere.,Certains sacrifices sont nécessaires pour économiser de l’énergie.,Irgendwoher müssen die Energieeinsparungen ja kommen.,Il risparmio di energia deve pur arrivare da qualche parte.,El ahorro de energía tiene que venir de alguna parte.,El ahorro de energía tiene que venir de algún lado.,A economia de energia tem que vir de algum lugar.,Jakoś trzeba oszczędzać energię.,"Когда экономишь энергию, приходится чем-то жертвовать.",想節省能量總得有所取捨。,羊毛出在羊身上，节能也是一个道理。,어디든 에너지 절약을 해야 합니다.,エネルギーの節約は、何かを犠牲にして初めて達成されるものだ。,Економія енергії має свою плату.,Enerji tasarrufu yapmak için bir yerlerden kısmak gerekir.
ITEM_FLAVOUR_TRINKET:SHIELD_INC,-- WARNING -- External temperature under critical minimum. Reinforcement of defence systems recommended.,-- AVERTISSEMENT -- Température externe inférieure au seuil critique. Renforcement des systèmes de défense recommandé.,-- WARNUNG -- Externe Temperatur unter dem kritischen Minimum. Verstärkung der Verteidigungssysteme wird empfohlen.,-- ATTENZIONE -- Temperatura esterna sotto soglia minima critica. Si consiglia un rafforzamento dei sistemi di difesa.,-- ADVERTENCIA -- Temperatura externa por debajo del mínimo crítico. Se recomienda reforzar los sistemas de defensa.,-- ADVERTENCIA -- Temperatura externa bajo el nivel mínimo crítico. Se recomienda reforzar los sistemas de defensa.,-- AVISO -- Temperatura externa abaixo do mínimo crítico. Recomenda-se o reforço dos sistemas de defesa.,-- OSTRZEŻENIE -- Temperatura zewnętrzna poniżej krytycznego poziomu. Zalecane wzmocnienie systemów obronnych.,-- ВНИМАНИЕ -- Внешняя температура ниже критической отметки. Рекомендуется усиление защитной системы.,-- 警告 -- 外部溫度低於最小臨界值。建議加強防禦系統。,-- 警告 -- 外部温度低于临界下限，建议巩固防御系统。,-- 경고 -- 외부 온도가 임계 최소치보다 낮습니다. 방어 시스템 강화를 권장합니다.,--警告--外温度が臨界最小値を下回っています。防御システムの強化を推奨します。,-- УВАГА -- Зовнішня температура нижча за критично мінімальну. Рекомендовано посилити захисні системи.,-- UYARI -- Dış sıcaklık kritik seviyenin altında. Savunma sistemlerinin güçlendirilmesi önerilir.
ITEM_FLAVOUR_TRINKET:SLOW_ENERGY,More brain power means more hunger.,"Plus on a de matière grise, plus on a faim.",Mehr Gehirnleistung bedeutet mehr Hunger.,Più potere cervellotico significa più fame.,Más capacidad cerebral significa más hambre.,"A mayor capacidad cerebral, más apetito.",Mais potência cerebral significa mais fome.,Większa moc mózgu oznacza większy głód.,"Чем больше мозг, тем сильнее голод.",更多的處理能力需要更多的能量。,动脑容易饿。,두뇌를 많이 쓸수록 더 배고파지는 법입니다.,脳のパワーがアップすると、空腹度もアップする。,Додаткові мозкові клітини теж потребують живлення.,Ne kadar beyin gücü harcarsan o kadar acıkırsın.
ITEM_FLAVOUR_TRINKET:SMALL_ENERGY_DRAIN,Most units leak small amounts of energy in their day-to-day tasks. An enterprising engineer might design a way to harvest this energy to prevent waste.,La plupart des unités perdent de petites quantités d’énergie dans l’exécution de leurs tâches quotidiennes. Un ingénieur entreprenant pourrait trouver un moyen de récupérer cette énergie pour ne pas la gâcher.,"Die meisten Einheiten verlieren bei ihren täglichen Aufgaben kleine Mengen an Energie. Ein unternehmungslustiger Ingenieur könnte einen Weg finden, diese Energie zu sammeln, um eine Verschwendung zu vermeiden.",La maggior parte delle unità perde un po' di energia durante i compiti giornalieri. Un ingegnere intraprendente potrebbe creare un modo per raccogliere questa energia ed evitare la dispersione.,La mayoría de las unidades pierden una pequeña cantidad de energía en sus tareas cotidianas. Un ingeniero emprendedor podría diseñar una forma de aprovechar esta energía para evitar el desperdicio.,La mayoría de las unidades pierden pequeñas cantidades de energía en sus tareas cotidianas. Un ingeniero emprendedor podría diseñar una forma de recolectar esta energía para evitar que se desperdicie.,A maioria das unidades vaza pequenas quantidades de energia em suas tarefas diárias. Um engenheiro empreendedor pode criar uma maneira de coletar essa energia para evitar o desperdício.,"Większość jednostek traci niewielkie ilości energii podczas codziennych zadań. Pomysłowy inżynier mógłby zaprojektować sposób na zbieranie tej energii, aby zapobiec marnotrawstwu.","Большинство юнитов при выполнении повседневных задач сталкивается с утечкой энергии. Некий предприимчивый инженер, возможно, уже нашёл способ поглощать эту энергию.",大多數裝置在日常任務中會洩漏少量能量。有進取心的工程師可能會設計一種方法收集這些能量，以防止浪費。,大多数个体都会在日常工作中泄漏少量能量。富有进取心的工程师可能会设计一种方法来收集这种能量，防止浪费。,유닛 대부분은 일상적인 작업 중에 소량의 에너지가 누출됩니다. 진취적인 엔지니어라면 에너지를 낭비를 막기 위해 이 에너지를 회수할 방법을 고안해 낼 겁니다.,ほとんどのユニットは、日常的に少しずつエネルギーを漏出している。創造力に富んだエンジニアなら、このエネルギーを回収し、無駄を防ぐ方法を設計することができるだろう。,Більшість юнітів втрачають невелику кількість енергії в рутинних операціях. Кмітливий інженер може знайти спосіб збирати цю енергію та не втрачати її.,Çoğu birim günlük işleri sırasında az da olsa enerji sızdırır. Girişimci bir mühendis bu enerjiyi toplamanın bir yolunu bularak atık oluşmasını engelleyebilir.
ITEM_FLAVOUR_TRINKET:SPIDER_BERSERKER,"They clawed their ways into our worst nightmares centuries ago, and they still live there. Well, better in our heads than in the Vessel.","Elles se sont introduites dans nos pires cauchemars, il y a de ça bien longtemps, et elles y demeurent toujours. Enfin, mieux vaut les avoir dans nos têtes que dans l’Arche.","Sie haben sich vor Jahrhunderten in unseren schlimmsten Albträumen festgekrallt und leben immer noch dort. Na ja, besser in unseren Köpfen als im Schiff.","Sono entrati con artigli affilati nei nostri incubi peggiori secoli fa, e sono ancora lì. Beh, meglio nella nostra testa che nel Vascello.","Se abrieron paso hasta nuestras peores pesadillas hace siglos y todavía viven allí. Bueno, mejor en nuestras cabezas que en la Nave.","Se arrastraron hasta nuestras peores pesadillas hace siglos y aún habitan ahí. En fin, es mejor que estén en nuestras mentes y no en el Navío.","Séculos atrás, elas entraram com suas garras em nossos piores pesadelos e nunca mais saíram. Bem, melhor na nossa cabeça do que na Nau.","Wdarły się do naszych najgorszych koszmarów wieki temu i nadal tam żyją. Cóż, lepiej żeby były w naszych głowach niż na Statku.","Они пробрались в наши самые жуткие кошмары столетия назад и до сих пор живут в них. Что ж, по мне так пусть уж лучше там, чем в Судне.",早在數百年前，這種八爪蟲就爬進了我們最深層的惡夢，至今仍然盤踞其中。還好牠們只存在我們的腦海中，而不是這艘船艦上。,几个世纪之前，它们闯进了我们最可怕的噩梦，直到现在还挥之不去。不过呢，在我们脑子里捣乱也就算了，总好过在「皿躯舰」里捣乱吧。,"놈들은 몇백 년 전 우리의 가장 끔찍한 악몽이 되었고 여전히 그곳에 있습니다. 뭐, 본선에 있는 것보다는 우리 머릿속에 있는 게 더 낫긴 합니다.",彼らは何世紀も前に我々の悪夢に入り込み、今でもそこに存在し続けている。ヴェッセルの中にいるよりは、頭の中にいる方がマシなのだろう。,"Вони продерлися в наші найстрашніші кошмари багато століть тому й досі там живуть. Ну, краще в наших головах, ніж у Ковчегу.","Yüzyıllar önce en korkunç kâbuslarımızda yer edindiler ve hâlâ oradalar. Eh, kafamızın içinde olmaları Aracı'da olmalarından iyidir."
ITEM_FLAVOUR_TRINKET:STAGGER_ATTACK,"Experiment #97 : Testing the Intake Capacity of Standard Vessel Units to Isolate their Breaking Point --Halyn, 13 years old","Expérience #97 : Test du degré de résistance des unités standards de l’Arche afin d’isoler leur point de rupture. — Halyn, 13 ans","Experiment Nr. 97: Ich teste die Aufnahmekapazität von Standard-Behältern, um ihre Belastungsgrenze zu ermitteln – Halyn, 13 Jahre alt","Esperimento n. 97: testare la capacità di assorbimento delle unità standard del Vascello per isolarne il punto di rottura --Halyn, 13 anni","Experimento n.° 97: Prueba de la capacidad de admisión de recipientes estándar para aislar su punto de ruptura. --Dra. Halyn, 13 años","Experimento n.º 97: Prueba de la capacidad de absorción de las unidades estándar del Navío para aislar su punto de colapso --Halyn, 13 años","Experimento nº 97 : Testando a capacidade de absorção das unidades padrão da Nau para isolar seu ponto de ruptura --Halyn, 13 anos","Eksperyment nr 97: Testowanie pojemności pochłaniania standardowych jednostek Statku w celu wyizolowania ich punktu krytycznego. -- Halyn, 13 lat","Эксперимент №97: проверка пропускной способности стандартных юнитов для установления предела их прочности. — Халин, 13 лет",97 號實驗：測試標準船艦裝置的最大承受力以確定其極限 -- Halyn 博士，13 歲,97 号试验：测试标准「皿躯舰」个体的能量摄入能力，确定崩溃极限——海琳，时年 13 岁,"실험 #97: 표준 본선 유닛의 한계점 확인을 위한 흡입 용량 실험 중 --헤일린, 13세",実験#97：ヴェッセルの標準ユニットの耐久容量をテストして、破損点を明らかにする--ハリン（13歳）,"Експеримент № 97. Тестування об’єму поглинання стандартних юнітів Ковчега для визначення точки злому. — Д-р Хейлін, 13 років",97. Deney: Dolum Kapasitesi Testi ile Standart Aracı Birimlerinin Kırılma Noktalarının Tespiti --Halyn (13 yaşında)
ITEM_FLAVOUR_TRINKET:TANGLES,Friends share everything. :),Les amis partagent tout. :),Freunde teilen alles. :),Gli amici condividono tutto. :),Los amigos comparten todo. :),Los amigos comparten todo. :),Amigos compartilham tudo. :),Przyjaciele dzielą się wszystkim. :),Друзья всем должны делиться. :),朋友們什麼都會分享。:),朋友就是要分享一切，嘿嘿。,무엇이든 서로 나누는 게 친구입니다. :),フレンドはいつだって一心同体:),Друзі діляться всім :),Paylaşım arkadaşlığın temelidir. :)
ITEM_FLAVOUR_TRINKET:TURBO_GLIDE,May the starlight push us in the right direction.,Puisse la lumière des étoiles nous propulser dans la bonne direction.,Möge uns das Sternenlicht in die richtige Richtung leiten.,Che la luce delle stelle possa sospingerti nella giusta direzione.,Que la luz de las estrellas nos empuje en la dirección correcta.,Que la luz de las estrellas nos lleve en la dirección correcta.,Que a luz das estrelas nos empurre na direção certa.,Niech światło gwiazd poprowadzi nas we właściwym kierunku.,Пусть свет звёзд подтолкнёт нас в верном направлении.,願星光將我們推向正確的方向。,愿星光助我们踏上正途。,별빛이 우리를 올바른 방향으로 이끌어 주길.,星の光が、私たちを正しい方向へと導いてくれますように。,І най світ зірок спрямує наш шлях.,Yıldızların ışığı bize doğru yolu göstersin.
ITEM_FLAVOUR_TRINKET:VAMPIRE,"In the Vaults, you are just a tool for the Hand. Make sure to be the tool that outlasts the others.","Dans les Chambres fortes, tu n'es rien de plus qu'un outil pour la Main. Assure-toi de t'émousser moins vite que les autres.","In der Schatzkammer bist du bloß ein Werkzeug für die Hand. Sorge dafür, dass du das Werkzeug bist, das die anderen überdauert.","Nel Deposito, non sei che uno strumento per la Mano. Assicurati che quello strumento viva più a lungo di tutti gli altri.","En las Bóvedas, eres solo una herramienta para la Mano. Asegúrate de ser la herramienta que sobreviva a las demás.","En las Bóvedas, solo eres una herramienta para la Mano. Asegúrate de ser la herramienta que dure más que las otras.","Nos Cofres, você é apenas uma ferramenta para a Mão. Seja a ferramenta mais duradoura de todas.","W Kryptach jesteś tylko narzędziem dla Ręki. Upewnij się, że jesteś narzędziem, które przetrwa inne.","В Хранилищах ты лишь инструмент Ладони. Сделай всё, что в твоих силах, чтобы продержаться дольше, чем другие инструменты.",在保存庫中，你只是手的其中一個工具。你的目標是成為所有工具中最經久耐用的那一款。,「储藏库」里的人都只是「手」的工具而已，你要比其他工具撑得更久才行。,금고에서 당신은 손의 도구일 뿐입니다. 다른 존재보다 더 오래가는 도구가 되어야 합니다.,地下保管庫では、あなたはハンドに使われる道具に過ぎない。他の道具よりも長持ちするよう心がけるといい。,"У Сховищах ти лише інструмент для Руки. Будь інструментом, який протримається довше за інших.",Kasalarda olduğun sürece yalnızca El'in bir aracısın. Diğer araçlardan daha iyi işlediğinden emin ol.
